"number","is_HG","name","position","birth_from","birth_day","matchs_played","goals","team_id","team","update_date","height","weight","birth_year","birth_month","birth_date","age"
1,FALSE,"菅野　孝憲","GK","埼玉県","1984-05-03",1,0,1,"北海道コンサドーレ札幌","2023-02-18",179,75,1984,5,3,38
21,TRUE,"松原　修平","GK","北海道","1992-08-11",0,0,1,"北海道コンサドーレ札幌","2023-02-18",185,87,1992,8,11,30
25,FALSE,"ク　ソンユン","GK","大韓民国","1994-06-27",0,0,1,"北海道コンサドーレ札幌","2023-02-18",195,82,1994,6,27,28
48,FALSE,"大谷　幸輝","GK","熊本県","1989-04-08",0,0,1,"北海道コンサドーレ札幌","2023-02-18",186,87,1989,4,8,33
2,FALSE,"田中　駿汰","DF","大阪府","1997-05-26",1,0,1,"北海道コンサドーレ札幌","2023-02-18",183,73,1997,5,26,25
3,FALSE,"馬場　晴也","DF","千葉県","2001-10-24",1,0,1,"北海道コンサドーレ札幌","2023-02-18",181,76,2001,10,24,21
5,FALSE,"福森　晃斗","DF","神奈川県","1992-12-16",1,0,1,"北海道コンサドーレ札幌","2023-02-18",183,80,1992,12,16,30
6,TRUE,"中村　桐耶","DF","北海道","2000-07-23",1,0,1,"北海道コンサドーレ札幌","2023-02-18",186,78,2000,7,23,22
22,TRUE,"西　大伍","DF","北海道","1987-08-28",0,0,1,"北海道コンサドーレ札幌","2023-02-18",176,72,1987,8,28,35
28,FALSE,"岡田　大和","DF","島根県","2001-06-17",0,0,1,"北海道コンサドーレ札幌","2023-02-18",180,78,2001,6,17,21
47,TRUE,"西野　奨太","DF","北海道","2004-05-28",0,0,1,"北海道コンサドーレ札幌","2023-02-18",182,79,2004,5,28,18
50,FALSE,"岡村　大八","DF","東京都","1997-02-15",1,0,1,"北海道コンサドーレ札幌","2023-02-18",183,85,1997,2,15,26
7,FALSE,"ルーカス　フェルナンデス","MF","ブラジル","1994-04-24",0,0,1,"北海道コンサドーレ札幌","2023-02-18",174,66,1994,4,24,28
8,TRUE,"深井　一希","MF","北海道","1995-03-11",0,0,1,"北海道コンサドーレ札幌","2023-02-18",180,80,1995,3,11,27
9,FALSE,"金子　拓郎","MF","埼玉県","1997-07-30",1,0,1,"北海道コンサドーレ札幌","2023-02-18",178,75,1997,7,30,25
10,TRUE,"宮澤　裕樹","MF","北海道","1989-06-28",1,0,1,"北海道コンサドーレ札幌","2023-02-18",182,76,1989,6,28,33
11,FALSE,"青木　亮太","MF","東京都","1996-03-06",1,0,1,"北海道コンサドーレ札幌","2023-02-18",174,72,1996,3,6,26
14,FALSE,"駒井　善成","MF","京都府","1992-06-06",0,0,1,"北海道コンサドーレ札幌","2023-02-18",168,67,1992,6,6,30
18,FALSE,"浅野　雄也","MF","三重県","1997-02-17",1,0,1,"北海道コンサドーレ札幌","2023-02-18",173,72,1997,2,17,26
27,TRUE,"荒野　拓馬","MF","北海道","1993-04-20",1,0,1,"北海道コンサドーレ札幌","2023-02-18",181,76,1993,4,20,29
30,FALSE,"田中　宏武","MF","群馬県","1999-04-15",0,0,1,"北海道コンサドーレ札幌","2023-02-18",174,68,1999,4,15,23
44,FALSE,"小野　伸二","MF","静岡県","1979-09-27",0,0,1,"北海道コンサドーレ札幌","2023-02-18",175,75,1979,9,27,43
49,FALSE,"スパチョーク","MF","タイ","1998-05-22",0,0,1,"北海道コンサドーレ札幌","2023-02-18",169,66,1998,5,22,24
99,FALSE,"小林　祐希","MF","東京都","1992-04-24",1,0,1,"北海道コンサドーレ札幌","2023-02-18",182,72,1992,4,24,30
4,TRUE,"菅　大輝","FW","北海道","1998-09-10",1,0,1,"北海道コンサドーレ札幌","2023-02-18",171,78,1998,9,10,24
13,FALSE,"キム　ゴンヒ","FW","大韓民国","1995-02-22",1,0,1,"北海道コンサドーレ札幌","2023-02-18",186,79,1995,2,22,27
19,FALSE,"小柏　剛","FW","群馬県","1998-07-09",0,0,1,"北海道コンサドーレ札幌","2023-02-18",167,68,1998,7,9,24
23,FALSE,"大森　真吾","FW","福岡県","2001-02-09",0,0,1,"北海道コンサドーレ札幌","2023-02-18",181,77,2001,2,9,22
32,FALSE,"ミラン　トゥチッチ","FW","スロベニア","1996-08-15",0,0,1,"北海道コンサドーレ札幌","2023-02-18",186,77,1996,8,15,26
45,FALSE,"中島　大嘉","FW","大阪府","2002-06-08",1,0,1,"北海道コンサドーレ札幌","2023-02-18",188,88,2002,6,8,20
1,FALSE,"西川　周作","GK","大分県","1986-06-18",1,0,2,"浦和レッズ","2023-02-18",183,81,1986,6,18,36
12,TRUE,"鈴木　彩艶","GK","アメリカ合衆国","2002-08-21",0,0,2,"浦和レッズ","2023-02-18",190,91,2002,8,21,20
16,FALSE,"牲川　歩見","GK","静岡県","1994-05-12",0,0,2,"浦和レッズ","2023-02-18",195,90,1994,5,12,28
31,FALSE,"吉田　舜","GK","埼玉県","1996-11-28",0,0,2,"浦和レッズ","2023-02-18",185,83,1996,11,28,26
2,FALSE,"酒井　宏樹","DF","長野県","1990-04-12",1,0,2,"浦和レッズ","2023-02-18",185,78,1990,4,12,32
4,FALSE,"岩波　拓也","DF","兵庫県","1994-06-18",0,0,2,"浦和レッズ","2023-02-18",186,72,1994,6,18,28
5,FALSE,"マリウス　ホイブラーテン","DF","ノルウェー","1995-01-23",1,0,2,"浦和レッズ","2023-02-18",185,77,1995,1,23,28
6,FALSE,"馬渡　和彰","DF","東京都","1991-06-23",0,0,2,"浦和レッズ","2023-02-18",175,72,1991,6,23,31
13,FALSE,"犬飼　智也","DF","静岡県","1993-05-12",0,0,2,"浦和レッズ","2023-02-18",182,77,1993,5,12,29
20,FALSE,"知念　哲矢","DF","沖縄県","1997-11-08",0,0,2,"浦和レッズ","2023-02-18",178,70,1997,11,8,25
26,TRUE,"荻原　拓也","DF","埼玉県","1999-11-23",0,0,2,"浦和レッズ","2023-02-18",175,73,1999,11,23,23
28,FALSE,"アレクサンダー　ショルツ","DF","デンマーク","1992-10-24",1,0,2,"浦和レッズ","2023-02-18",189,84,1992,10,24,30
66,FALSE,"大畑　歩夢","DF","福岡県","2001-04-27",1,0,2,"浦和レッズ","2023-02-18",168,65,2001,4,27,21
3,TRUE,"伊藤　敦樹","MF","埼玉県","1998-08-11",1,0,2,"浦和レッズ","2023-02-18",182,78,1998,8,11,24
8,FALSE,"小泉　佳穂","MF","東京都","1996-10-05",1,0,2,"浦和レッズ","2023-02-18",172,63,1996,10,5,26
10,FALSE,"ダヴィド　モーベルグ","MF","スウェーデン","1994-03-20",1,0,2,"浦和レッズ","2023-02-18",179,74,1994,3,20,28
14,TRUE,"関根　貴大","MF","埼玉県","1995-04-19",1,0,2,"浦和レッズ","2023-02-18",167,61,1995,4,19,27
15,FALSE,"明本　考浩","MF","栃木県","1998-01-31",1,0,2,"浦和レッズ","2023-02-18",170,65,1998,1,31,25
19,FALSE,"岩尾　憲","MF","群馬県","1988-04-18",1,0,2,"浦和レッズ","2023-02-18",175,65,1988,4,18,34
21,FALSE,"大久保　智明","MF","東京都","1998-07-23",1,0,2,"浦和レッズ","2023-02-18",170,62,1998,7,23,24
22,FALSE,"柴戸　海","MF","神奈川県","1995-11-24",0,0,2,"浦和レッズ","2023-02-18",180,70,1995,11,24,27
25,FALSE,"安居　海渡","MF","埼玉県","2000-02-09",0,0,2,"浦和レッズ","2023-02-18",174,69,2000,2,9,23
27,FALSE,"松崎　快","MF","埼玉県","1997-11-22",1,0,2,"浦和レッズ","2023-02-18",172,70,1997,11,22,25
29,TRUE,"堀内　陽太","MF","埼玉県","2004-07-08",0,0,2,"浦和レッズ","2023-02-18",171,66,2004,7,8,18
40,FALSE,"平野　佑一","MF","東京都","1996-03-11",0,0,2,"浦和レッズ","2023-02-18",174,68,1996,3,11,26
9,FALSE,"ブライアン　リンセン","FW","オランダ","1990-10-08",1,0,2,"浦和レッズ","2023-02-18",170,64,1990,10,8,32
17,FALSE,"アレックス　シャルク","FW","オランダ","1992-08-07",0,0,2,"浦和レッズ","2023-02-18",171,68,1992,8,7,30
18,FALSE,"髙橋　利樹","FW","埼玉県","1998-01-20",0,0,2,"浦和レッズ","2023-02-18",182,76,1998,1,20,25
30,FALSE,"興梠　慎三","FW","宮崎県","1986-07-31",1,0,2,"浦和レッズ","2023-02-18",175,72,1986,7,31,36
1,FALSE,"児玉　剛","GK","大阪府","1987-12-28",0,0,3,"ＦＣ東京","2023-02-18",183,83,1987,12,28,35
27,FALSE,"ヤクブ　スウォビィク","GK","ポーランド","1991-08-31",1,0,3,"ＦＣ東京","2023-02-18",190,85,1991,8,31,31
41,TRUE,"野澤　大志ブランドン","GK","沖縄県","2002-12-25",0,0,3,"ＦＣ東京","2023-02-18",193,90,2002,12,25,20
51,FALSE,"小林　将天","GK","東京都","2005-09-20",0,0,3,"ＦＣ東京","2023-02-18",190,87,2005,9,20,17
2,FALSE,"中村　帆高","DF","神奈川県","1997-08-12",1,0,3,"ＦＣ東京","2023-02-18",177,72,1997,8,12,25
3,FALSE,"森重　真人","DF","広島県","1987-05-21",0,0,3,"ＦＣ東京","2023-02-18",183,80,1987,5,21,35
4,FALSE,"木本　恭生","DF","静岡県","1993-08-06",1,0,3,"ＦＣ東京","2023-02-18",184,78,1993,8,6,29
5,FALSE,"長友　佑都","DF","愛媛県","1986-09-12",1,0,3,"ＦＣ東京","2023-02-18",170,68,1986,9,12,36
17,FALSE,"徳元　悠平","DF","沖縄県","1995-09-12",0,0,3,"ＦＣ東京","2023-02-18",170,73,1995,9,12,27
28,FALSE,"鈴木　準弥","DF","静岡県","1996-01-07",0,0,3,"ＦＣ東京","2023-02-18",176,71,1996,1,7,27
32,TRUE,"土肥　幹太","DF","東京都","2004-11-10",0,0,3,"ＦＣ東京","2023-02-18",184,73,2004,11,10,18
44,FALSE,"エンリケ　トレヴィザン","DF","ブラジル","1997-01-20",1,0,3,"ＦＣ東京","2023-02-18",185,78,1997,1,20,26
47,TRUE,"木村　誠二","DF","千葉県","2001-08-24",0,0,3,"ＦＣ東京","2023-02-18",186,80,2001,8,24,21
49,TRUE,"バングーナガンデ　佳史扶","DF","東京都","2001-09-24",1,0,3,"ＦＣ東京","2023-02-18",176,74,2001,9,24,21
50,TRUE,"東　廉太","DF","山口県","2004-06-17",0,0,3,"ＦＣ東京","2023-02-18",190,83,2004,6,17,18
7,FALSE,"松木　玖生","MF","北海道","2003-04-30",1,0,3,"ＦＣ東京","2023-02-18",180,78,2003,4,30,19
8,TRUE,"安部　柊斗","MF","東京都","1997-12-05",1,0,3,"ＦＣ東京","2023-02-18",171,66,1997,12,5,25
10,FALSE,"東　慶悟","MF","福岡県","1990-07-20",1,0,3,"ＦＣ東京","2023-02-18",178,72,1990,7,20,32
11,FALSE,"渡邊　凌磨","MF","埼玉県","1996-10-02",1,1,3,"ＦＣ東京","2023-02-18",176,72,1996,10,2,26
15,FALSE,"アダイウトン","MF","ブラジル","1990-12-06",1,0,3,"ＦＣ東京","2023-02-18",176,83,1990,12,6,32
